Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
A0A3Q7I7R4	200		Cytoplasm;Disulfide bond;Initiation factor;Nucleus;Protein biosynthesis;Reference proteome;RNA-binding;Translation regulation	RNA 7-methylguanosine cap binding [GO:0000340]; translation initiation factor activity [GO:0003743]
A0A3Q8GL18	271	1.1.1.419; 5.5.1.34	Isomerase;NAD;Oxidoreductase	isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]
A0A3S5XFG0	380	2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29	Magnesium;Metal-binding;Transferase	metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]
A0A3S5YBC7	492	3.2.1.123	3D-structure;Disulfide bond;Glycosidase;Hydrolase;Lipid metabolism;Lipoprotein;Membrane;Palmitate;Secreted;Signal;Sphingolipid metabolism	endoglycosylceramidase activity [GO:0047876]
A0A3S7WQS5	595	2.9.1.2	Cytoplasm;Protein biosynthesis;Pyridoxal phosphate;RNA-binding;Selenium;Transferase;tRNA-binding	O-phosphoseryl-tRNA(Sec) selenium transferase activity [GO:0098621]; selenotransferase activity [GO:0016785]; tRNA binding [GO:0000049]
A0A411EZW9	138	3.1.1.4	Calcium;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Platelet aggregation inhibiting toxin;Presynaptic neurotoxin;Secreted;Signal;Toxin	calcium ion binding [GO:0005509]; calcium-dependent phospholipase A2 activity [GO:0047498]; phospholipid binding [GO:0005543]; toxin activity [GO:0090729]
A0A411MR89	471	1.14.13.250	3D-structure;Antibiotic biosynthesis;Iron;Metal-binding;Monooxygenase;Oxidoreductase	metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]
A0A445AGS0	203		Cytoplasm;Disulfide bond;Host-virus interaction;Initiation factor;Nucleus;Plant defense;Protein biosynthesis;Reference proteome;RNA-binding;Translation regulation	RNA 7-methylguanosine cap binding [GO:0000340]; translation initiation factor activity [GO:0003743]
A0A452E9Y6	712	1.11.1.7	3D-structure;Antibiotic;Antimicrobial;Calcium;Cytoplasm;Direct protein sequencing;Disulfide bond;Glycoprotein;Heme;Hydrogen peroxide;Iron;Metal-binding;Nitration;Oxidoreductase;Peroxidase;Phosphoprotein;Reference proteome;Secreted;Signal	calcium ion binding [GO:0005509]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; peroxidase activity [GO:0004601]; thiocyanate peroxidase activity [GO:0036393]
A0A452G813	803		Calcium;Cell membrane;Endosome;Ion channel;Ion transport;Lysosome;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix;Transport	calcium-activated cation channel activity [GO:0005227]; nucleic acid binding [GO:0003676]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]
A0A455R4Z0	384	5.4.99.-	Glycoprotein;Isomerase;Membrane;Signal;Transmembrane;Transmembrane helix	isomerase activity [GO:0016853]
A0A481NV25	611	4.1.1.-; 4.1.1.25	Coiled coil;Decarboxylase;Lyase;Pyridoxal phosphate	L-dopa decarboxylase activity [GO:0036468]; pyridoxal phosphate binding [GO:0030170]; tyrosine decarboxylase activity [GO:0004837]
A0A482A9N4	328	1.14.99.56	3D-structure;Carbohydrate metabolism;Cellulose degradation;Direct protein sequencing;Disulfide bond;Glycoprotein;Methylation;Monooxygenase;Oxidoreductase;Polysaccharide degradation;Secreted;Signal	monooxygenase activity [GO:0004497]
A0A482D308	529	3.1.-.-	3D-structure;Antiviral defense;DNA-binding;Endonuclease;Hydrolase;Metal-binding;Nuclease;RNA-binding;Zinc	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
A0A482PDI9	329	2.4.1.-	Glycoprotein;Glycosyltransferase;Manganese;Metal-binding;Secreted;Toxin;Transferase;Virulence	glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; protein-arginine N-acetylglucosaminyltransferase activity [GO:0106362]; toxin activity [GO:0090729]
A0A494BA31	952		Cell membrane;Glycoprotein;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport	active monoatomic ion transmembrane transporter activity [GO:0022853]; chloride:bicarbonate antiporter activity [GO:0140900]; sodium,bicarbonate:chloride antiporter activity [GO:0140892]; sodium:bicarbonate symporter activity [GO:0008510]
A0A498JQK2	214	4.1.1.36	Cell membrane;Coenzyme A biosynthesis;Cytoplasm;Decarboxylase;Flavoprotein;FMN;Growth regulation;Lyase;Membrane;Reference proteome;Stress response	FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
A0A499UB99	368	1.4.3.3	3D-structure;Disulfide bond;FAD;Flavoprotein;Oxidoreductase;Peroxisome	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]
A0A4P8DY91	364	2.1.1.-; 2.1.1.69; 2.1.1.70	3D-structure;Methyltransferase;S-adenosyl-L-methionine;Transferase	catechol O-methyltransferase activity [GO:0016206]; O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A4S8L4Q5	417	2.1.1.-	3D-structure;Methylation;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;Virulence	methyltransferase activity [GO:0008168]
A0A4X1UM84	622	2.7.11.-; 4.1.1.32	Acetylation;Cytoplasm;Decarboxylase;Endoplasmic reticulum;Gluconeogenesis;GTP-binding;Kinase;Lyase;Manganese;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Ubl conjugation	carboxylic acid binding [GO:0031406]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; protein serine kinase activity (using GTP as donor) [GO:0106264]
A0A4Y1WBN6	264	3.1.11.-	Exonuclease;Hydrolase;Metal-binding;Nuclease;Reference proteome	exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]
A0A4Y6HUD7	747	4.3.1.24	Cytoplasm;Lyase;Phenylalanine catabolism;Phenylpropanoid metabolism	phenylalanine ammonia-lyase activity [GO:0045548]
A0A4Z3	339	2.4.1.87	Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	alpha-1,3-galactosyltransferase activity [GO:0001962]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; N-acetyllactosaminide 3-alpha-galactosyltransferase activity [GO:0047276]
A0A509ADH4	226		Endoplasmic reticulum;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A509AFG4	554	2.7.11.1	ATP-binding;Calcium;Cytoplasm;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; protein serine/threonine kinase activity [GO:0004674]
A0A509AHB6	523	2.7.11.1	3D-structure;ATP-binding;Calcium;Cell membrane;Cell projection;Cilium;Cytoplasm;Flagellum;Host cell membrane;Host membrane;Kinase;Lipoprotein;Magnesium;Membrane;Metal-binding;Myristate;Nucleotide-binding;Palmitate;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; protein serine/threonine kinase activity [GO:0004674]
A0A509AJA5	354		3D-structure;Cytoplasmic vesicle;Host cytoplasm;Protease inhibitor;Reference proteome;Secreted;Signal;Thiol protease inhibitor	cysteine-type endopeptidase inhibitor activity [GO:0004869]
A0A509AKL0	856	2.7.11.12	ATP-binding;cGMP;cGMP-binding;Cytoplasm;Endoplasmic reticulum;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; metal ion binding [GO:0046872]
A0A509ALD0	363	3.5.4.31; 3.5.4.4	Hydrolase;Metal-binding;Purine salvage;Reference proteome;Zinc	5'-methylthioadenosine deaminase activity [GO:0090614]; adenosine deaminase activity [GO:0004000]; metal ion binding [GO:0046872]
A0A509AM03	599	3.4.21.62	Calcium;Coiled coil;Cytoplasmic vesicle;Disulfide bond;Glycoprotein;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen	serine-type endopeptidase activity [GO:0004252]
A0A509APT1	258		Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	glycerol channel activity [GO:0015254]; urea transmembrane transporter activity [GO:0015204]; water channel activity [GO:0015250]
A0A509AQ68	446	4.2.1.11	Acetylation;Cell membrane;Cytoplasm;Cytoskeleton;Glycolysis;Isopeptide bond;Lyase;Magnesium;Membrane;Metal-binding;Nucleus;Phosphoprotein;Reference proteome;Ubl conjugation;Vacuole	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]
A0A509AQE6	562	2.7.11.1	ATP-binding;Calcium;Cell membrane;Cytoplasm;Cytoplasmic vesicle;Kinase;Lipoprotein;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Palmitate;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; protein serine/threonine kinase activity [GO:0004674]
A0A509AST0	606		3D-structure;Cell membrane;Cytoplasm;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	
A0A517FNB9	473	1.14.14.-	Brassinosteroid biosynthesis;Cholesterol metabolism;Iron;Lipid biosynthesis;Lipid metabolism;Membrane;Metal-binding;Oxidoreductase;Steroid biosynthesis;Steroid metabolism;Sterol metabolism;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A517FNC5	485	1.14.14.-	Cholesterol metabolism;Heme;Iron;Lipid biosynthesis;Lipid metabolism;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Steroid biosynthesis;Steroid metabolism;Sterol metabolism;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A517FNC6	491	1.14.14.-	Brassinosteroid biosynthesis;Cholesterol metabolism;Heme;Iron;Lipid biosynthesis;Lipid metabolism;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Steroid biosynthesis;Steroid metabolism;Sterol metabolism;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A571BEE2	422		Alternative splicing;Cytoplasm;Cytoskeleton;Developmental protein;Differentiation;Reference proteome;Repeat;Spermatogenesis	structural constituent of cytoskeleton [GO:0005200]
A0A5B8NIM2	262	5.4.99.5	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Host cytoplasm;Isomerase;Phenylalanine biosynthesis;Secreted;Tyrosine biosynthesis;Virulence	chorismate mutase activity [GO:0004106]
A0A5C2A2T2	178	3.1.1.4	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Hydroxylation;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin	phospholipase A2 activity [GO:0004623]; toxin activity [GO:0090729]
A0A5E4M3Q4	554		Alternative splicing;Metal-binding;Nucleus;Reference proteome;Repeat;Zinc;Zinc-finger	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
A0A5J5T2N2	462	2.7.11.1	ATP-binding;Cell membrane;Hypersensitive response elicitation;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Plant defense;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A5K1K8H0	568	2.7.11.1	ATP-binding;Calcium;Cell membrane;Cytoplasm;Cytoplasmic vesicle;Kinase;Lipoprotein;Membrane;Metal-binding;Nucleotide-binding;Palmitate;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; protein serine kinase activity [GO:0106310]
A0A5K6CNB8	1332	6.3.-.-	3D-structure;Cell membrane;Ligase;Membrane;Phosphopantetheine;Phosphoprotein;Transmembrane;Transmembrane helix	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0A5K7RLP0	589		Alternative splicing;DNA-binding;Meiosis;Nucleus;Reference proteome;Transcription;Transcription regulation	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
A0A5P3XKQ1	1260	3.4.24.69	3D-structure;Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Neurotoxin;Plasmid;Protease;Toxin;Virulence;Zinc	metalloendopeptidase activity [GO:0004222]; protein transmembrane transporter activity [GO:0008320]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]
A0A5R8T042	291	3.5.2.6	3D-structure;Antibiotic resistance;Hydrolase;Secreted;Signal	beta-lactamase activity [GO:0008800]
A0A5S9I252	386	4.2.3.-; 4.2.3.104; 4.2.3.137; 4.2.3.157; 4.2.3.182; 4.2.3.57	3D-structure;Lyase;Magnesium;Metal-binding	(-)-E-beta-caryophyllene synthase activity [GO:0080016]; alpha-humulene synthase activity [GO:0080017]; metal ion binding [GO:0046872]
A0A5S9MMK5	443		Alternative splicing;Developmental protein;DNA-binding;Metal-binding;Nucleus;Reference proteome;Transcription;Transcription regulation;Zinc;Zinc-finger	RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
A0A644F0Y1	472		Cell projection;Cilium;Cytoplasm;Cytoskeleton;Flagellum;GTP-binding;Microtubule;Nucleotide-binding;Reference proteome	GTP binding [GO:0005525]; microtubule nucleator activity [GO:0140490]
A0A644F649	831		Cell projection;Cilium;Cilium biogenesis/degradation;Cytoplasm;Cytoskeleton;Flagellum;Reference proteome;Repeat;TPR repeat	kinesin binding [GO:0019894]
A0A644F7M7	961		Cell projection;Cilium;Cytoplasm;Cytoskeleton;Flagellum;Microtubule;Reference proteome	gamma-tubulin binding [GO:0043015]
A0A649V088	291	3.5.2.6	3D-structure;Antibiotic resistance;Hydrolase;Secreted;Signal	beta-lactamase activity [GO:0008800]
A0A6B7FMR5	324		Calcium;Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Metal-binding;Platelet aggregation inhibiting toxin;Secreted;Signal;Toxin	metal ion binding [GO:0046872]; toxin activity [GO:0090729]
A0A6B9HEI0	681	2.1.1.-	3D-structure;4Fe-4S;Antibiotic biosynthesis;Cobalamin;Cobalt;Iron;Iron-sulfur;Metal-binding;Methyltransferase;S-adenosyl-L-methionine;Transferase	4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]
A0A6B9HER0	548	6.2.1.-	ATP-binding;Ligase;Nucleotide-binding;Peroxisome	ATP binding [GO:0005524]; CoA-ligase activity [GO:0016405]; long-chain fatty acid-CoA ligase activity [GO:0004467]
A0A6C0PI29	280	3.1.1.73	Carbohydrate metabolism;Disulfide bond;Glycoprotein;Hydrolase;Polysaccharide degradation;Secreted;Serine esterase;Signal;Xylan degradation	feruloyl esterase activity [GO:0030600]
A0A6I8PUB9	353		Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	G protein-coupled receptor activity [GO:0004930]
A0A6I8TCE0	1309	3.1.3.48	Cell membrane;Glycoprotein;Hydrolase;Membrane;Protein phosphatase;Reference proteome;Signal;Transmembrane;Transmembrane helix	protein tyrosine phosphatase activity [GO:0004725]
A0A6J2ATK2	992	3.4.11.-	Aminopeptidase;Developmental protein;Glycoprotein;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix;Zinc	metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]
A0A6M7H989	227	5.3.1.15; 5.3.1.7	3D-structure;Carbohydrate metabolism;Disulfide bond;Isomerase;Manganese;Metal-binding	isomerase activity [GO:0016853]; metal ion binding [GO:0046872]
A0A6N3IN21	329	4.3.1.17; 4.3.1.19; 5.1.1.3	Acetylation;Isomerase;Lipid metabolism;Lyase;Pyridoxal phosphate;Reference proteome	glutamate racemase activity [GO:0008881]; identical protein binding [GO:0042802]; L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]
A0A6P3CW73	58		3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Knottin;Protease inhibitor;Secreted;Serine protease inhibitor;Signal	serine-type endopeptidase inhibitor activity [GO:0004867]
A0A6P3HVI0	535		3D-structure;Cell membrane;Cell projection;Cilium;Cytoplasmic vesicle;Endosome;Flagellum;Lysosome;Membrane;Metal-binding;Mitochondrion;Reference proteome;Sodium;Synapse;Transmembrane;Transmembrane helix	identical protein binding [GO:0042802]; lithium:proton antiporter activity [GO:0010348]; metal ion binding [GO:0046872]; sodium:proton antiporter activity [GO:0015385]
A0A6P6DKR7	299		Chylomicron;Endosome;Extracellular matrix;Glycoprotein;HDL;Heparin-binding;Lipid transport;Lipid-binding;Oxidation;Phosphoprotein;Reference proteome;Repeat;Secreted;Signal;Transport;VLDL	amyloid-beta binding [GO:0001540]; antioxidant activity [GO:0016209]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle receptor binding [GO:0050750]; metal chelating activity [GO:0046911]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]; receptor ligand activity [GO:0048018]; tau protein binding [GO:0048156]; very-low-density lipoprotein particle receptor binding [GO:0070326]
A0A6P6W6H5	606	4.2.3.-; 4.2.3.113; 4.2.3.15; 4.2.3.47	Chloroplast;Lyase;Magnesium;Metal-binding;Plastid;Reference proteome;Transit peptide	magnesium ion binding [GO:0000287]; myrcene synthase activity [GO:0050551]; pinene synthase activity [GO:0050550]; sabinene synthase activity [GO:0080015]
A0A6P7EFR0	283		Acetylation;Apoptosis;ATP-binding;Cell membrane;Ion transport;Isopeptide bond;Membrane;Mitochondrion;Mitochondrion outer membrane;NAD;Nucleotide-binding;Phosphoprotein;Porin;Reference proteome;Transmembrane;Transmembrane beta strand;Transport;Ubl conjugation	ATP binding [GO:0005524]; porin activity [GO:0015288]; voltage-gated channel activity [GO:0022832]; voltage-gated monoatomic anion channel activity [GO:0008308]; voltage-gated monoatomic ion channel activity [GO:0005244]
A0A7E6FSU6	336	1.4.3.1	Direct protein sequencing;FAD;Flavoprotein;Oxidoreductase;Peroxisome;Reference proteome	D-aspartate oxidase activity [GO:0008445]; FAD binding [GO:0071949]
A0A7G5KET3	417	2.7.2.3	ATP-binding;Cytoplasm;Glycolysis;Kinase;Magnesium;Metal-binding;Mitochondrion;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase	ADP binding [GO:0043531]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoglycerate kinase activity [GO:0004618]
A0A7G6KN55	61		3D-structure;Antibiotic;Antimicrobial;Defensin;Disulfide bond;Fungicide;Lipid-binding;Reference proteome;Secreted;Signal	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]; identical protein binding [GO:0042802]; phosphatidic acid binding [GO:0070300]
A0A7J6JXB6	1425		Cytoplasm;Endosome;Exocytosis;Golgi apparatus;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	
A0A7J6K7I9	553	2.7.11.1	ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Secreted;Signal;Transferase	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
A0A7J6K7Y0	640	2.7.11.1	ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Secreted;Serine/threonine-protein kinase;Signal;Transferase	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
A0A7J6KDB0	383		Cell adhesion;Cytoplasmic vesicle;Disulfide bond;EGF-like domain;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Reference proteome;Secreted;Signal	
A0A7M6UMR7	1010		Cytoplasm;Direct protein sequencing;Glycoprotein;Nucleus;Reference proteome;Secreted;Signal;Storage protein	nutrient reservoir activity [GO:0045735]
A0A7U2MSD6	435	3.1.3.16	Cytoplasm;Hydrolase;Magnesium;Manganese;Metal-binding;Nucleus;Protein phosphatase;Reference proteome	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
A0A7U2QYM2	402	2.3.1.-; 2.3.1.48	Activator;Acyltransferase;Bromodomain;Chromatin regulator;Nucleus;Reference proteome;Transcription;Transcription regulation;Transferase	histone crotonyltransferase activity [GO:0140068]; histone H3K14 acetyltransferase activity [GO:0036408]; histone H3K18 acetyltransferase activity [GO:0043993]; histone H3K9 acetyltransferase activity [GO:0043992]; histone reader activity [GO:0140566]; lysine-acetylated histone binding [GO:0070577]; transcription coregulator activity [GO:0003712]
A0A7U9P668	588	3.2.1.54	Carbohydrate metabolism;Glycosidase;Hydrolase	cyclomaltodextrinase activity [GO:0047798]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
A0A858E6N7	365	2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29	Isoprene biosynthesis;Lyase;Magnesium;Metal-binding;Multifunctional enzyme;Transferase	lyase activity [GO:0016829]; metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]
A0A8B7DWS6	186		3D-structure;Cytolysis;Membrane;Nematocyst;Reference proteome;Secreted;Signal;Target cell membrane;Target membrane;Toxin;Transmembrane	channel activity [GO:0015267]; toxin activity [GO:0090729]
A0A8C0N8E3	466		Acetylation;Cell membrane;Coiled coil;Cytoplasm;Cytoskeleton;Glycoprotein;Intermediate filament;Isopeptide bond;Membrane;Nucleus;Phosphoprotein;Reference proteome;S-nitrosylation;Ubl conjugation	
A0A8C0NGY6	506		Activator;Cell junction;Cytoplasm;Nucleus;Phosphoprotein;Reference proteome;Repeat;Repressor;Tight junction;Transcription;Transcription regulation;Ubl conjugation	chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; proline-rich region binding [GO:0070064]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
A0A8C0TYJ0	927		Cell junction;Cell membrane;Cytoplasm;Endoplasmic reticulum;Membrane;Phosphoprotein;Reference proteome;Repeat;SH3 domain;Synapse;Ubl conjugation	kinase binding [GO:0019900]; L27 domain binding [GO:0097016]; molecular adaptor activity [GO:0060090]; phosphatase binding [GO:0019902]; potassium channel regulator activity [GO:0015459]; structural constituent of postsynaptic density [GO:0098919]; transmembrane transporter binding [GO:0044325]
A0A8C2LVE3	356	2.8.2.-	Coiled coil;Disulfide bond;Glycoprotein;Golgi apparatus;Membrane;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	3'-phosphoadenosine 5'-phosphosulfate binding [GO:0050656]; heparan sulfate 2-sulfotransferase activity [GO:0004394]
A0A8C2MDK8	438	2.5.1.108	Cytoplasm;Iron;Iron-sulfur;Metal-binding;Nucleus;Phosphoprotein;S-adenosyl-L-methionine;Transferase	2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]
A0A8H8CMW1	343	4.2.3.-; 4.2.3.127; 4.2.3.128; 4.2.3.129; 4.2.3.91; 4.2.3.98	Lyase;Magnesium;Metal-binding;Reference proteome	metal ion binding [GO:0046872]; terpene synthase activity [GO:0010333]
A0A8I3NFE2	1264	3.1.3.86	Actin-binding;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Hydrolase;Immunity;Lipid metabolism;Membrane;Nucleus;Phosphoprotein;Reference proteome;SH2 domain;SH3-binding	actin binding [GO:0003779]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]
A0A8I3NQW8	106		3D-structure;Acetylation;Chaperone;Endoplasmic reticulum;Membrane;Reference proteome;Transmembrane;Transmembrane helix	protein folding chaperone [GO:0044183]
A0A8I3P7X4	483		3D-structure;Chaperone;Coiled coil;Endoplasmic reticulum;Glycoprotein;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]
A0A8I3PDQ1	834		Alternative splicing;Cell adhesion;Cell cycle;Cell division;Cell junction;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Golgi apparatus;Growth regulation;Membrane;Mitosis;Nucleus;Phosphoprotein;Reference proteome;SH3 domain;Ubl conjugation	protein tyrosine kinase binding [GO:1990782]
A0A8I3PI99	188		3D-structure;Calcium;Calcium channel;Calcium transport;Coiled coil;Endoplasmic reticulum;Golgi apparatus;Ion channel;Ion transport;Membrane;Mitochondrion;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix;Transport	calcium channel activity [GO:0005262]; ribosome binding [GO:0043022]
A0A8I3PQN6	400		Activator;Cell junction;Cell membrane;Cytoplasm;Isopeptide bond;Membrane;Nucleus;Phosphoprotein;Reference proteome;Tight junction;Ubl conjugation	protein homodimerization activity [GO:0042803]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
A0A8I3QA39	776		Cell junction;Cell projection;Coiled coil;Cytoplasm;Endosome;Isopeptide bond;Phosphoprotein;Reference proteome;Ubl conjugation;Wnt signaling pathway	
A0A8I3S724	405	2.7.11.1	ATP-binding;Cell cycle;Cell division;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Isopeptide bond;Kinase;Membrane;Microtubule;Mitosis;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transferase;Ubl conjugation	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
A0A8I3S9V6	129		3D-structure;Endoplasmic reticulum;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix	
